Name,City,Catégorie,VulcaTour-step,Vulca-tour,Link of the Logo,Location,Latitude,Longitude,Country,List of Events
Les Usines Nouvelles,Ligugé,,,,,,,,,
Les petits debrouillards Auvergne,,,05.09,VT05,https://drive.google.com/uc?id=13rTdJj7udAZbAQYXyxCRyTlVJKVsW1yv,"32 Rue du Pont Naturel, 63000 Clermont-Ferrand, ",45.78330330,3.07925680,France,
LinkFab,,,06.21,VT06,," 6 Place Clément Marot, 46000 Cahors",44.44760480,1.44307260,France,
 La Fabrique ENSAM,Montpellier,,13.53,VT13,https://drive.google.com/uc?id=10qIAn_itBD1gmD_CKECYhelL_Y_JbCx3,"179 Rue de l'Espérou, 34095 Montpellier, France",43.63648300,3.85694110,France,
Labsud,Montpellier,,"13.01,10.20,06.18,04.13","VT04,VT06,VT10,VT13",https://drive.google.com/uc?id=1k4q7WWSAw_yK3iCvJJqABqQw0mC-ibuT,"120 Allée John Napier, 34000 Montpellier, France",43.61513810,3.91044190,France,
8 Fablab,Crest,,01.04,"VT01,VT06",https://drive.google.com/uc?id=1PQyoPtZbZPvQWr1VMAVvL7l62Xk0npaw,"Rue Courre Commere, 26400 Crest, France",44.72823480,5.02349550,France,
Agrilab,Troissereux,,09.54,VT02,https://drive.google.com/uc?id=1O-R9cN3UU7xpY5N3vGswjAmC6a3jzzYc,"Lieu dit, 60112 Troissereux, France",49.47906700,2.04465400,France,
Albilab,Albi,,02.18,VT02,https://drive.google.com/uc?id=1KOx4nijOFhHGzTcxVE29xqgj_ddMU0qx,"8 Rue Pierre gilles de Gennes, 81000 Albi, France",43.92038600,2.18171740,France,
APEDEC Fablab Mozinor,Montreuil,,05.07,VT05,https://drive.google.com/uc?id=10bkrYL-rreWmLNUSV90J7xNB4gQ4f2Cf,"Montreuil, 2 à 20 avenue Allende, MOZINOR, Montreuil , 93106, France",48.86844850,2.45677290,France,
POP LAB ,Montreuil,,05.06,VT05,https://drive.google.com/uc?id=1tJ2uw9wPwemankH9EQ_ZCJaJJM-fyqrf,"9 Rue Dombasle, 93100 Montreuil, France",48.86422360,2.44959400,France,
